195337_01,023711_04,521402_37,521403_03,521049_42
376262_03,023758_02,521390_17,521388_12,521394_12
376171_01,521035_01,521385_51,521376_17,023758_01
376171_02,521035_01,521385_51,521376_17,023758_01
521388_12,521394_12,376262_03,078213_08,023758_01
521394_12,521388_12,376262_03,023758_01,078213_08
521394_01,521379_01,376262_02,021181_01
521385_51,521376_17,521035_01,376171_02
521385_42,521388_02,520184_20,376171_01
521561_24,521591_24,521562_24,054158_01,054157_01
522435_01,522436_04,078978_01,054159_01,054157_01
522434_01,522436_04,078978_01,054159_01,054157_01
522433_01,522436_01,078841_01,054159_01,054157_01
522436_01,522433_01,078841_01,054159_01,054157_01
522436_04,522434_01,078841_01,054159_01,907971_01
522435_04,522436_04,078978_01,054159_01,054157_01
521549_13,521550_13,521552_13,521551_01
521550_13,521549_13,521552_13,521551_01
521552_13,521549_13,521550_13,521551_01
521551_01,521549_13,521550_13,521552_13
521549_01,521550_01,521552_01,521551_01
521550_01,521549_01,521552_01,521551_01
521552_01,521549_01,521550_01,521551_01
521551_01,521549_01,521550_01,521552_01
589839_75,589840_75,531658_14,382743_01
589840_75,589839_75,531658_14,382743_01
531658_14,589839_75,589840_75,382743_01
382743_01,589839_75,589840_75,531658_14
383684_01,533519_01,533520_01
533519_01,383684_01,533520_01
533520_01,383684_01,533519_01